"Codigo de via";"Clase de la via";"Particula de la via";"Nombre de la via";"Tipo de tramo ";"Nombre de la aproximacion";"Numero inicial del tramo";"Calificador del numero inicial del tramo";"Numero final del tramo";"Calificador del numero final del tramo";"Zona S E R  del tramo"
"00001932";"CALLE                   ";"DE LAS";"VENTAS                                          ";"par  ";"NUM";"000002";"  ";"000008";"  ";"000154"
"00002295";"CALLE                   ";"DE    ";"SANTA MARIA LA REAL DE NIEVA                    ";"impar";"NUM";"000001";"  ";"000999";"  ";"000021"
"00002295";"CALLE                   ";"DE    ";"SANTA MARIA LA REAL DE NIEVA                    ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000021"
"00002296";"CALLE                   ";"DE    ";"COBOS DE SEGOVIA                                ";"impar";"NUM";"000001";"  ";"000999";"  ";"000021"
"00002296";"CALLE                   ";"DE    ";"COBOS DE SEGOVIA                                ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000021"
"00002297";"CALLE                   ";"DE    ";"BERCIAL                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000021"
"00002297";"CALLE                   ";"DE    ";"BERCIAL                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000021"
"00002298";"CALLE                   ";"DE    ";"PARADINAS                                       ";"impar";"NUM";"000001";"  ";"000999";"  ";"000021"
"00002298";"CALLE                   ";"DE    ";"PARADINAS                                       ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000021"
"00002299";"CALLE                   ";"DE    ";"ETREROS                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000021"
"00002299";"CALLE                   ";"DE    ";"ETREROS                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000021"
"00002301";"CALLE                   ";"DE    ";"SANGARCIA                                       ";"impar";"NUM";"000001";"  ";"000999";"  ";"000021"
"00002301";"CALLE                   ";"DE    ";"SANGARCIA                                       ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000021"
"00002302";"CALLE                   ";"DE LA ";"CAOBA                                           ";"impar";"NUM";"000001";"  ";"000999";"  ";"000022"
"00002302";"CALLE                   ";"DE LA ";"CAOBA                                           ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000022"
"00002303";"CALLE                   ";"DEL   ";"MAJUELO                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000022"
"00002303";"CALLE                   ";"DEL   ";"MAJUELO                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000022"
"00002304";"CALLE                   ";"DEL   ";"PALO DE ROSA                                    ";"impar";"NUM";"000001";"  ";"000999";"  ";"000022"
"00002304";"CALLE                   ";"DEL   ";"PALO DE ROSA                                    ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000022"
