Direccion;Latitud;Longitud;Coordenadas
Calle  Gran Vía, 26;40.3150283246195;-3.48055215150424;40.3150283246195, -3.48055215150424
Calle  Peñón de Gibraltar, 46;40.2976638648742;-3.44115784361857;40.2976638648742, -3.44115784361857
Calle  Gustavo Adolfo Bécquer, 41;40.3023054261081;-3.43475647556119;40.3023054261081, -3.43475647556119
Calle de San José, 1;40.2992413733961;-3.44104269673573;40.2992413733961, -3.44104269673573
Calle de los Almendros, 50;40.2985362239616;-3.43433175491245;40.2985362239616, -3.43433175491245
Calle  Jorge Manrique, 3;40.3017908130643;-3.43363197888396;40.3017908130643, -3.43363197888396
Calle de la Comprensión, 16;40.307229108598;-3.44474594783422;40.307229108598, -3.44474594783422
Calle  Puerta del Campo, 12;40.3025212740583;-3.4375582955679;40.3025212740583, -3.4375582955679
Avda del Ejército, 63;40.3036889627955;-3.45079793429185;40.3036889627955, -3.45079793429185
Urb  Gran Hábitat, 8;40.3041686117807;-3.43943549777232;40.3041686117807, -3.43943549777232
Paseo de la Misericordia, 10;40.3034011861192;-3.4454478748239;40.3034011861192, -3.4454478748239
