FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,LONGITUD
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2748,65736,APARCAMOTOS_237,Esq. Correo de Andalucía,"CAMINO DE LA TÉRMICA, 16 ",POINT (-4.44791600001884 36.689149037587605),,,,24 h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2749,65670,APARCAMOTOS_125,,"CALLE DE TESEO, 14 ",POINT (-4.477726478492357 36.720527200692175),,,,24 h,,MUNICIPAL,No,No,6
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_274a,65869,APARCAMOTOS_331,esquina con C/ Ramos Marín,"CALLE GÓMEZ PALLETE, 11 ",POINT (-4.418352160018125 36.72447741763266),,,,,,MUNICIPAL,No,No,
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_274b,78445,APARCAMOTOS_374,"C/ Casarabonela N.º 24, esquina con la Plaza Alcalde Enrique Gómez Rodriguez","CALLE CASARABONELA, 24 ",POINT (-4.449492815965948 36.708619034228015),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_274c,79299,APARCAMOTOS_2909,Av. de los Guindos esq. C /Calañas,"CALLE CALAÑAS, 11 ",POINT (-4.451553410584287 36.6924300315113),,,,,,MUNICIPAL,No,No,8
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_274d,65642,APARCAMOTOS_096,Esq. Sondalezas,"CALLE SONDALEZAS, 20 ",POINT (-4.442548155803401 36.725503259946805),,,,24 h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_274e,65692,APARCAMOTOS_139,Días Lectivos de 8:30 a 16:30. ,"CALLE CORTÉS EL VIEJO, 2 ",POINT (-4.450036883373122 36.70218442739541),,,,Lectivos 8:30-16:30,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_274f,65709,APARCAMOTOS_186,Esq. AV. Gregorio Diego,"AVENIDA DE VELÁZQUEZ, 97 ",POINT (-4.455024000019046 36.692174037591414),,,,24 h,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2750,78118,APARCAMOTOS_360,,"AVENIDA DE VELÁZQUEZ, 102 ",POINT (-4.456017373845957 36.69191904091871),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2751,65597,APARCAMOTOS_205,Esq. Montaño,"CALLE MARIBLANCA, 9 ",POINT (-4.420263000018179 36.72450903763275),,,,Solo Motos,,MUNICIPAL,No,No,74
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2752,65738,APARCAMOTOS_243,Esq. Cl. La Regente,"CALLE SEVILLA, 25 ",POINT (-4.429516000018424 36.7257980376343),,,,24 h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2753,65644,APARCAMOTOS_097,Esq. Juan Antonio Tercero,"CALLE NUESTRA SEÑORA DE LOS CLARINES, 2 ",POINT (-4.439978599567065 36.729340048472416),,,,Laborables 8 a 20 h.,,MUNICIPAL,No,No,15
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2754,65843,APARCAMOTOS_016,Frente a Cl. Purificación,"CALLE PURIFICACIÓN, 9 ",POINT (-4.425495000018318 36.72450003763265),,,,24 h.,,MUNICIPAL,No,No,27
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2755,65835,APARCAMOTOS_113,Esq. Avda. Sor Teresa Prat,"CALLE SARGENTO CROOKE LÓPEZ, 10 ",POINT (-4.440204000018651 36.701508037603354),,,,24 h.,,MUNICIPAL,No,No,14
